location_id,location_name,n,exceed_rate,latitude,longitude,nearest_station_id
152,ALA MOANA PARK EWA END,259,0.019305019305019305,21.294445,-157.85777,705.12
152,"Ala Moana Park, Ewa",78,0.02564102564102564,21.291044,-157.85503,705.12
153,"Ala Moana Park, Center",977,0.02456499488229273,21.289448,-157.84982,705
154,"Ala Moana Park, D.H.",1350,0.017777777777777778,21.287458,-157.84616,705
155,"Kahanamoku Beach, Waikiki",1549,0.0329244673983215,21.281519,-157.8395,707.5
157,KAHANAMOKU LAGOON-DIAMOND HEAD,400,0.05,21.285833,-157.84111,707.5
158,"Fort DeRussy Beach, Waikiki",240,0.016666666666666666,21.277945,-157.83391,717.2
159,"Gray's Beach, Waikiki",549,0.03642987249544627,21.277185,-157.83138,717.2
160,"Tavern Beach, Waikiki",253,0.003952569169960474,21.275673,-157.82602,717.2
161,"Kuhio Beach, Waikiki",1572,0.05725190839694656,21.271482,-157.82303,717.2
162,"Public Bath Beach, Waikiki",792,0.010101010101010102,21.267614,-157.82265,717.2
163,ELK'S CLUB BEACH,78,0.0,21.264723,-157.82472,717.2
164,SAND ISLAND POINT #1,106,0.0,21.306389,-157.87723,705.12
169,Mokuleia Shoreline,47,0.02127659574468085,21.582087,-158.19304,843.7
170,Kaiaka Bay Shoreline,247,0.10121457489878542,21.587044,-158.11868,847
171,Haleiwa Beach Park,393,0.05597964376590331,21.5984,-158.10358,847
172,Waimea Bay Shoreline,1134,0.03527336860670194,21.639736,-158.06366,892.2
173,Kawela Bay Shoreline,247,0.024291497975708502,21.697262,-158.00873,909
175,Laie Bay Shoreline,557,0.05385996409335727,21.65469,-157.9285,903.2
176,Hauula Beach Park,258,0.023255813953488372,21.611425,-157.9103,904.1
177,Punaluu Beach Park,57,0.17543859649122806,21.57703,-157.8817,905.2
178,KAHANA PARK,190,0.05789473684210526,21.560278,-157.87778,884.4
179,Kaaawa Beach Park,1,0.0,21.549816,-157.84656,886.12
185,Makaha Beach,726,0.011019283746556474,21.478336,-158.22247,800.3
186,Maili Beach Park,445,0.0,21.420614,-158.17865,798
187,Nanakuli Beach Park,1243,0.006436041834271922,21.37755,-158.14297,728.2
189,Ewa Beach,682,0.007331378299120235,21.313597,-157.992,702.8
189,Ewa Beach Park,26,0.0,21.31351,-157.99199,702.8
193,Kailua Beach Park,191,0.005235602094240838,21.398495,-157.72786,793.1
